date,time,temperature,dewpoint,humidity,wind,wind speed,wind gust,pressure,precip,condition
01/01/2017,12:00 AM,66ʡF,55ʡF,68ʡ%,CALM,0ʡmph,0ʡmph,30.16ʡin,0.0ʡin,Mostly Cloudy
01/01/2017,12:30 AM,66ʡF,59ʡF,78ʡ%,N,2ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Mostly Cloudy
01/01/2017,01:00 AM,66ʡF,59ʡF,78ʡ%,VAR,1ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Mostly Cloudy
01/01/2017,01:30 AM,66ʡF,59ʡF,78ʡ%,VAR,2ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Mostly Cloudy
01/01/2017,02:00 AM,66ʡF,57ʡF,73ʡ%,ESE,2ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Mostly Cloudy
01/01/2017,02:30 AM,66ʡF,57ʡF,73ʡ%,CALM,0ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Light Rain
01/01/2017,03:00 AM,66ʡF,57ʡF,73ʡ%,SSW,2ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
01/01/2017,03:30 AM,66ʡF,59ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fog
01/01/2017,04:00 AM,64ʡF,61ʡF,88ʡ%,W,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Light Rain
01/01/2017,04:30 AM,64ʡF,61ʡF,88ʡ%,W,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fog
01/01/2017,05:00 AM,64ʡF,59ʡF,83ʡ%,WSW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fog
01/01/2017,05:30 AM,64ʡF,61ʡF,88ʡ%,WSW,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fog
01/01/2017,06:00 AM,63ʡF,63ʡF,100ʡ%,WNW,5ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fog
01/01/2017,06:30 AM,63ʡF,61ʡF,94ʡ%,NW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Light Rain
01/01/2017,07:00 AM,63ʡF,61ʡF,94ʡ%,NW,6ʡmph,0ʡmph,30.16ʡin,0.0ʡin,Fog
01/01/2017,07:30 AM,63ʡF,61ʡF,94ʡ%,NW,7ʡmph,0ʡmph,30.16ʡin,0.0ʡin,Fog
01/01/2017,08:00 AM,63ʡF,59ʡF,88ʡ%,NW,8ʡmph,0ʡmph,30.19ʡin,0.0ʡin,Light Rain
01/01/2017,08:30 AM,63ʡF,61ʡF,94ʡ%,NNW,6ʡmph,0ʡmph,30.19ʡin,0.0ʡin,Light Rain
01/01/2017,09:00 AM,63ʡF,61ʡF,94ʡ%,NW,7ʡmph,0ʡmph,30.19ʡin,0.0ʡin,Light Rain
