date,time,temperature,dewpoint,humidity,wind,wind speed,wind gust,pressure,precip,condition
01/06/2019,12:00 AM,77ʡF,70ʡF,78ʡ%,NNE,7ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,12:30 AM,77ʡF,70ʡF,78ʡ%,NNE,7ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Light Rain
01/06/2019,01:00 AM,75ʡF,72ʡF,89ʡ%,NNE,7ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,01:30 AM,75ʡF,75ʡF,100ʡ%,NW,8ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Rain
01/06/2019,02:00 AM,73ʡF,73ʡF,100ʡ%,VAR,2ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Rain
01/06/2019,02:30 AM,73ʡF,73ʡF,100ʡ%,NNE,6ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Rain
01/06/2019,03:00 AM,73ʡF,73ʡF,100ʡ%,N,7ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Light Rain
01/06/2019,03:30 AM,73ʡF,73ʡF,100ʡ%,N,7ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Light Rain
01/06/2019,04:00 AM,73ʡF,73ʡF,100ʡ%,N,6ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,04:30 AM,73ʡF,73ʡF,100ʡ%,NNE,3ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,05:00 AM,73ʡF,73ʡF,100ʡ%,NNE,7ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,05:30 AM,73ʡF,73ʡF,100ʡ%,NNE,7ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,06:00 AM,75ʡF,73ʡF,94ʡ%,N,8ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,06:30 AM,75ʡF,73ʡF,94ʡ%,N,5ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,07:00 AM,75ʡF,73ʡF,94ʡ%,VAR,6ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,07:30 AM,75ʡF,73ʡF,94ʡ%,N,6ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,08:00 AM,75ʡF,73ʡF,94ʡ%,VAR,5ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,08:30 AM,75ʡF,73ʡF,94ʡ%,VAR,3ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,09:00 AM,77ʡF,73ʡF,89ʡ%,NNE,5ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Rain
01/06/2019,09:30 AM,77ʡF,73ʡF,89ʡ%,VAR,6ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Rain
01/06/2019,10:00 AM,77ʡF,77ʡF,100ʡ%,VAR,6ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Rain
01/06/2019,10:30 AM,77ʡF,75ʡF,94ʡ%,N,7ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,11:00 AM,77ʡF,75ʡF,94ʡ%,VAR,7ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,11:30 AM,77ʡF,75ʡF,94ʡ%,NNE,6ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Mostly Cloudy
01/06/2019,12:00 PM,77ʡF,72ʡF,83ʡ%,N,8ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
