date,time,temperature,dewpoint,humidity,wind,wind speed,wind gust,pressure,precip,condition
01/12/2018,12:00 AM,75ʡF,73ʡF,94ʡ%,ESE,8ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Mostly Cloudy
01/12/2018,12:30 AM,73ʡF,73ʡF,100ʡ%,E,6ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
01/12/2018,01:00 AM,73ʡF,73ʡF,100ʡ%,E,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
01/12/2018,01:30 AM,73ʡF,73ʡF,100ʡ%,E,7ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fog
01/12/2018,02:00 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fog
01/12/2018,02:30 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fog
01/12/2018,03:00 AM,73ʡF,73ʡF,100ʡ%,E,5ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fog
01/12/2018,03:30 AM,73ʡF,73ʡF,100ʡ%,E,5ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fog
01/12/2018,04:00 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Mostly Cloudy
01/12/2018,04:30 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Mostly Cloudy
01/12/2018,05:00 AM,73ʡF,73ʡF,100ʡ%,VAR,2ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Mostly Cloudy
01/12/2018,05:30 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Mostly Cloudy
01/12/2018,06:00 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Light Rain
01/12/2018,06:30 AM,73ʡF,72ʡF,94ʡ%,VAR,2ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Rain
01/12/2018,07:00 AM,73ʡF,73ʡF,100ʡ%,ENE,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Light Rain
01/12/2018,07:30 AM,73ʡF,72ʡF,94ʡ%,NE,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
01/12/2018,08:00 AM,73ʡF,72ʡF,94ʡ%,ENE,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
01/12/2018,08:30 AM,73ʡF,72ʡF,94ʡ%,NE,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
01/12/2018,09:00 AM,73ʡF,72ʡF,94ʡ%,VAR,2ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
01/12/2018,09:30 AM,75ʡF,73ʡF,94ʡ%,E,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Light Rain
