date,time,temperature,dewpoint,humidity,wind,wind speed,wind gust,pressure,precip,condition
01/02/2018,12:00 AM,54ʡF,41ʡF,62ʡ%,NNE,3ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,12:30 AM,54ʡF,41ʡF,62ʡ%,VAR,2ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,01:00 AM,54ʡF,41ʡF,62ʡ%,VAR,2ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,01:30 AM,54ʡF,41ʡF,62ʡ%,NE,3ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,02:00 AM,54ʡF,39ʡF,58ʡ%,NNE,3ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,02:30 AM,54ʡF,37ʡF,54ʡ%,NNE,6ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,03:00 AM,55ʡF,36ʡF,47ʡ%,NNE,7ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,03:30 AM,54ʡF,36ʡF,51ʡ%,NNE,8ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,04:00 AM,54ʡF,36ʡF,51ʡ%,NNE,6ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,04:30 AM,54ʡF,36ʡF,51ʡ%,NNE,5ʡmph,0ʡmph,30.22ʡin,0.0ʡin,Fair
01/02/2018,05:00 AM,54ʡF,36ʡF,51ʡ%,NNE,3ʡmph,0ʡmph,30.22ʡin,0.0ʡin,Fair
01/02/2018,05:30 AM,54ʡF,37ʡF,54ʡ%,NNE,3ʡmph,0ʡmph,30.22ʡin,0.0ʡin,Fair
01/02/2018,06:00 AM,52ʡF,36ʡF,54ʡ%,NE,5ʡmph,0ʡmph,30.22ʡin,0.0ʡin,Fair
01/02/2018,06:30 AM,52ʡF,37ʡF,58ʡ%,NNE,3ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,07:00 AM,52ʡF,37ʡF,58ʡ%,E,3ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,07:30 AM,52ʡF,39ʡF,62ʡ%,E,5ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,08:00 AM,54ʡF,39ʡF,58ʡ%,E,6ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,08:30 AM,55ʡF,37ʡF,51ʡ%,ENE,6ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,09:00 AM,57ʡF,37ʡF,48ʡ%,E,6ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,09:30 AM,57ʡF,36ʡF,44ʡ%,NE,6ʡmph,0ʡmph,30.28ʡin,0.0ʡin,Fair
01/02/2018,10:00 AM,57ʡF,37ʡF,48ʡ%,ENE,7ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,10:30 AM,59ʡF,36ʡF,42ʡ%,ENE,9ʡmph,0ʡmph,30.25ʡin,0.0ʡin,Fair
01/02/2018,11:00 AM,61ʡF,36ʡF,39ʡ%,VAR,6ʡmph,0ʡmph,30.22ʡin,0.0ʡin,Fair
01/02/2018,11:30 AM,59ʡF,36ʡF,42ʡ%,ENE,7ʡmph,0ʡmph,30.19ʡin,0.0ʡin,Fair
01/02/2018,12:00 PM,61ʡF,36ʡF,39ʡ%,E,5ʡmph,0ʡmph,30.16ʡin,0.0ʡin,Fair
01/02/2018,12:30 PM,61ʡF,37ʡF,42ʡ%,VAR,3ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
01/02/2018,01:00 PM,61ʡF,37ʡF,42ʡ%,SSE,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
