date,time,temperature,dewpoint,humidity,wind,wind speed,wind gust,pressure,precip,condition
01/01/2018,12:00 AM,61ʡF,54ʡF,77ʡ%,VAR,2ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Partly Cloudy
01/01/2018,12:30 AM,61ʡF,54ʡF,77ʡ%,N,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,01:00 AM,61ʡF,54ʡF,77ʡ%,NNW,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,01:30 AM,61ʡF,52ʡF,72ʡ%,E,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,02:00 AM,61ʡF,52ʡF,72ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,02:30 AM,61ʡF,54ʡF,77ʡ%,NE,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,03:00 AM,61ʡF,54ʡF,77ʡ%,E,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
01/01/2018,03:30 AM,61ʡF,54ʡF,77ʡ%,NE,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
01/01/2018,04:00 AM,59ʡF,52ʡF,77ʡ%,ENE,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
01/01/2018,04:30 AM,59ʡF,54ʡF,82ʡ%,E,2ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
01/01/2018,05:00 AM,59ʡF,52ʡF,77ʡ%,ENE,2ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
01/01/2018,05:30 AM,59ʡF,54ʡF,82ʡ%,ENE,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,06:00 AM,59ʡF,54ʡF,82ʡ%,ENE,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,06:30 AM,61ʡF,54ʡF,77ʡ%,NE,5ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,07:00 AM,61ʡF,54ʡF,77ʡ%,E,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,07:30 AM,61ʡF,54ʡF,77ʡ%,ENE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,08:00 AM,61ʡF,54ʡF,77ʡ%,E,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,08:30 AM,63ʡF,54ʡF,72ʡ%,ENE,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,09:00 AM,63ʡF,54ʡF,72ʡ%,E,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,09:30 AM,63ʡF,54ʡF,72ʡ%,E,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
01/01/2018,10:00 AM,63ʡF,54ʡF,72ʡ%,NE,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mostly Cloudy
